date,daily_pnl,equity
2024-01-08,0.0,1.0
2024-01-09,0.0,1.0
2024-01-10,0.0,1.0
2024-01-11,0.0,1.0
2024-01-12,0.0,1.0
2024-01-16,0.0,1.0
2024-01-17,0.0,1.0
2024-01-18,0.0,1.0
2024-01-19,0.0,1.0
2024-01-22,0.0,1.0
2024-01-23,0.0,1.0
2024-01-24,0.0,1.0
2024-01-25,0.0,1.0
2024-01-26,0.0,1.0
2024-01-29,0.0,1.0
2024-01-30,0.0,1.0
2024-01-31,0.0,1.0
2024-02-01,0.0,1.0
2024-02-02,0.0,1.0
2024-02-05,0.0,1.0
2024-02-06,0.0,1.0
2024-02-07,0.0,1.0
2024-02-08,0.0,1.0
2024-02-09,0.0,1.0
2024-02-12,0.0,1.0
2024-02-13,0.0,1.0
2024-02-14,0.0,1.0
2024-02-15,0.0,1.0
2024-02-16,0.0,1.0
2024-02-20,0.0,1.0
2024-02-21,0.0,1.0
2024-02-22,0.0,1.0
2024-02-23,0.0,1.0
2024-02-26,0.0,1.0
2024-02-27,0.0,1.0
2024-02-28,0.0,1.0
2024-02-29,0.0,1.0
2024-03-01,0.0,1.0
2024-03-04,0.0,1.0
2024-03-05,0.0,1.0
2024-03-06,0.0,1.0
2024-03-07,0.0,1.0
2024-03-08,0.0,1.0
2024-03-11,0.0,1.0
2024-03-12,0.0,1.0
2024-03-13,0.0,1.0
2024-03-14,0.0,1.0
2024-03-15,0.0,1.0
2024-03-18,0.0,1.0
2024-03-19,0.0,1.0
2024-03-20,0.0,1.0
2024-03-21,0.0,1.0
2024-03-22,0.0,1.0
2024-03-25,0.0,1.0
2024-03-26,0.0,1.0
2024-03-27,0.0,1.0
2024-03-28,0.0,1.0
2024-04-01,0.0,1.0
2024-04-02,0.0,1.0
2024-04-03,0.0,1.0
2024-04-04,0.0,1.0
2024-04-05,-0.001,0.999
2024-04-08,-0.0026513564406927537,0.996351294915748
2024-04-09,0.004561774173905131,1.0008964245210317
2024-04-10,-0.004815280970656477,0.9960768270144373
2024-04-11,0.02997147062437644,1.0259307143749228
2024-04-12,-0.0034092387193731533,1.0224330716600816
2024-04-15,-0.017671918630310424,1.0043647176127661
2024-04-16,-0.01040213594761319,0.993917179279172
2024-04-17,-0.009639160842737748,0.9843366517237399
2024-04-18,-0.008537508630954038,0.975932869063884
2024-04-19,-0.019145981233170517,0.9572476766679526
2024-04-22,0.010229895029690406,0.9670402199176809
2024-04-23,0.009709714409326997,0.9764299042754143
2024-04-24,-0.001861407610980248,0.9746123702200074
2024-04-25,-0.00569382041078903,0.9690631024138412
2024-04-26,0.01539444794990219,0.9839812939041218
2024-04-29,0.016133289654769456,0.9998561491335518
2024-04-30,-0.025605753559906685,0.9742540789834808
2024-05-01,0.007408439179811655,0.9814717810733135
2024-05-02,0.014691039061806244,0.995890621347122
2024-05-03,0.033940167116404574,1.0296913154653033
2024-05-06,0.0021330240808555834,1.0318876718370389
2024-05-07,0.0020555189829283282,1.0340087365347497
2024-05-08,-0.0010794701347150437,1.032892554984626
2024-05-09,0.00899813117227577,1.0421866576812446
2024-05-10,-0.008778316416640009,1.0330380134349182
2024-05-13,0.006400827755581817,1.0396503118238836
2024-05-14,0.004423623125417775,1.0442493329856155
2024-05-15,0.003224128297101503,1.0476161268093238
2024-05-16,-0.00602710951125468,1.0413020296872875
2024-05-17,0.0029901037508967,1.0444156307920718
2024-05-20,-0.001059385686570379,1.0433091918219803
2024-05-21,0.003285879905344402,1.0467373805304492
2024-05-22,0.0006709013351597357,1.0474396380366087
2024-05-23,-0.01720672476694124,1.0294166324749283
2024-05-24,0.01199147622043073,1.0417608575441673
2024-05-28,-0.000786907313406581,1.040941088306545
2024-05-29,0.0004326819139190974,1.0413914846889105
2024-05-30,-0.004788268875133006,1.036405022255946
2024-05-31,-0.005520488887560904,1.0306835598475699
2024-06-03,0.01001355796451997,1.0410043694171813
2024-06-04,0.0036284344191528373,1.0447815855016631
2024-06-05,0.009319427683706194,1.054518351933014
